CorrectAnswers;TotalAnswers;StepTargets;StepInputs;TimeToTarget;AllTargets;AllInputs
10;10;f;f;9.65;f;f
-;-;f;f;9.48;f;f
-;-;l;l;2.86;f;f
-;-;f;f;2.86;f;f
-;-;l;l;3.58;f;f
-;-;f;f;2.54;f;f
-;-;r;r;2.43;l;l
-;-;l;l;2.55;l;l
-;-;r;r;2.35;l;l
-;-;r;r;2.40;f;f
-;-;-;-;-;f;f
-;-;-;-;-;f;f
-;-;-;-;-;l;l
-;-;-;-;-;l;l
-;-;-;-;-;l;l
-;-;-;-;-;f;f
-;-;-;-;-;f;f
-;-;-;-;-;f;f
-;-;-;-;-;r;r
-;-;-;-;-;r;r
-;-;-;-;-;r;r
-;-;-;-;-;l;l
-;-;-;-;-;l;l
-;-;-;-;-;l;l
-;-;-;-;-;r;r
-;-;-;-;-;r;r
-;-;-;-;-;r;r
-;-;-;-;-;r;r
-;-;-;-;-;r;r
-;-;-;-;-;r;r
