CorrectAnswers;TotalAnswers;TargetByStep;AnswerByStep;TimeToTarget;AllTargets;PressureLeft;PressureFront;PressureRight
2;10;m;l;19.47;m;20;0;0
-;-;h;l;6.12;m;20;0;0
-;-;h;l;5.85;m;20;0;0
-;-;l;l;3.36;h;20;0;0
-;-;m;l;5.26;h;20;0;0
-;-;m;l;3.59;h;20;0;0
-;-;m;l;3.50;h;20;0;0
-;-;h;l;5.93;h;20;0;0
-;-;l;l;3.30;h;20;0;0
-;-;m;l;6.05;h;20;0;0
-;-;-;-;-;h;20;0;0
-;-;-;-;-;l;20;0;0
-;-;-;-;-;l;20;0;0
-;-;-;-;-;l;20;0;0
-;-;-;-;-;l;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;h;20;0;0
-;-;-;-;-;h;20;0;0
-;-;-;-;-;h;20;0;0
-;-;-;-;-;h;20;0;0
-;-;-;-;-;h;20;0;0
-;-;-;-;-;l;20;0;0
-;-;-;-;-;l;20;0;0
-;-;-;-;-;l;20;0;0
-;-;-;-;-;l;20;0;0
-;-;-;-;-;l;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
-;-;-;-;-;m;20;0;0
